Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0603_1608Metric,134.62,-128.524,0.0,top
C10,10u,C_0603_1608Metric,154.432,-111.76,90.0,top
C11,100n,C_0603_1608Metric,160.261,-122.936,180.0,top
C12,100n,C_0603_1608Metric,171.196,-116.332,-90.0,top
C13,100n,C_0603_1608Metric,170.18,-111.336,90.0,top
C14,100n,C_0603_1608Metric,155.956,-111.76,90.0,top
C15,12p,C_0603_1608Metric,178.308,-111.336,90.0,top
C16,12p,C_0603_1608Metric,172.212,-111.336,-90.0,top
C17,100n,C_0603_1608Metric,147.828,-111.252,180.0,top
C18,100n,C_0603_1608Metric,147.828,-115.824,180.0,top
C19,4.7n,C_0603_1608Metric,137.668,-138.684,90.0,top
C2,100n,C_0603_1608Metric,134.62,-127.0,0.0,top
C20,100n,C_0603_1608Metric,184.404,-120.396,-90.0,top
C21,100n,C_0603_1608Metric,161.036,-126.492,90.0,top
C22,100n,C_0603_1608Metric,150.876,-115.824,0.0,top
C23,100n,C_0603_1608Metric,135.636,-104.14,0.0,top
C24,100n,C_0603_1608Metric,150.876,-104.14,0.0,top
C25,100n,C_0603_1608Metric,166.116,-104.14,0.0,top
C26,100n,C_0603_1608Metric,181.356,-104.14,0.0,top
C3,4.7u,C_0603_1608Metric,134.62,-125.476,0.0,top
C4,1u,C_0603_1608Metric,128.016,-119.888,0.0,top
C5,1u,C_0603_1608Metric,131.572,-116.84,-90.0,top
C6,1u,C_0603_1608Metric,128.016,-112.268,0.0,top
C7,1u,C_0603_1608Metric,131.572,-109.22,-90.0,top
C8,100n,C_0603_1608Metric,133.604,-109.22,-90.0,top
C9,100n,C_0603_1608Metric,157.988,-110.744,90.0,top
D1,Red,R_0603_1608Metric,139.192,-125.476,180.0,top
D10,B5819W SL,D_SOD-123,179.324,-93.472,90.0,top
D11,B5819W SL,D_SOD-123,181.864,-93.472,90.0,top
D2,Red,R_0603_1608Metric,142.24,-125.476,180.0,top
D3,1N4148WS,D_SOD-323,156.972,-126.492,-90.0,top
D4,B5819W SL,D_SOD-123,133.604,-93.472,90.0,top
D5,B5819W SL,D_SOD-123,136.144,-93.472,90.0,top
D6,B5819W SL,D_SOD-123,148.844,-93.472,90.0,top
D7,B5819W SL,D_SOD-123,151.384,-93.472,90.0,top
D8,B5819W SL,D_SOD-123,164.084,-93.472,90.0,top
D9,B5819W SL,D_SOD-123,166.624,-93.472,90.0,top
FB1,33Ω@100MHz,L_0805_2012Metric,132.08,-128.778,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,131.064,-141.563,0.0,top
R1,1k,R_0603_1608Metric,147.828,-108.204,0.0,top
R10,220,R_0603_1608Metric,163.068,-126.492,90.0,top
R11,1k,R_0603_1608Metric,159.004,-126.492,-90.0,top
R12,1k,R_0603_1608Metric,150.876,-114.3,0.0,top
R13,220,R_0603_1608Metric,174.244,-126.492,90.0,top
R14,220,R_0603_1608Metric,172.212,-126.492,90.0,top
R15,220,R_0603_1608Metric,184.404,-126.492,90.0,top
R16,220,R_0603_1608Metric,186.436,-126.492,90.0,top
R17,1k,R_0603_1608Metric,142.748,-93.472,-90.0,top
R18,1k,R_0603_1608Metric,140.716,-93.472,-90.0,top
R19,2M,R_0603_1608Metric,138.684,-93.472,90.0,top
R2,10k,R_0603_1608Metric,147.828,-109.728,0.0,top
R20,1k,R_0603_1608Metric,157.988,-93.472,-90.0,top
R21,1k,R_0603_1608Metric,155.956,-93.472,-90.0,top
R22,2M,R_0603_1608Metric,153.924,-93.472,90.0,top
R23,1k,R_0603_1608Metric,173.228,-93.472,-90.0,top
R24,1k,R_0603_1608Metric,171.196,-93.472,-90.0,top
R25,2M,R_0603_1608Metric,169.164,-93.472,90.0,top
R26,1k,R_0603_1608Metric,188.468,-93.472,-90.0,top
R27,1k,R_0603_1608Metric,186.436,-93.472,-90.0,top
R28,2M,R_0603_1608Metric,184.404,-93.472,90.0,top
R3,1k,R_0603_1608Metric,147.828,-112.776,0.0,top
R4,10k,R_0603_1608Metric,147.828,-114.3,0.0,top
R5,470,R_0603_1608Metric,139.192,-127.0,180.0,top
R6,470,R_0603_1608Metric,142.24,-127.0,180.0,top
R7,1M,R_0603_1608Metric,137.668,-142.24,-90.0,top
R8,5.1k,R_0603_1608Metric,129.032,-136.652,180.0,top
R9,5.1k,R_0603_1608Metric,133.604,-136.652,0.0,top
U1,XC6206P332MR,SOT-23-3,128.016,-116.84,90.0,top
U10,NE5532,SOIC-8_5.3x5.3mm_P1.27mm,184.404,-100.076,90.0,top
U2,XC6206P332MR,SOT-23-3,128.016,-109.22,90.0,top
U3,STM32G431CBT6,LQFP-48_7x7mm_P0.5mm,163.068,-115.824,135.0,top
U4,SRV05-4,SOT-23-6,127.508,-131.572,0.0,top
U5,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,179.324,-123.444,270.0,top
U6,H11L1,SOP-6_6.35x8.51mm_P02.54mm,150.876,-122.428,0.0,top
U7,NE5532,SOIC-8_5.3x5.3mm_P1.27mm,138.684,-100.076,90.0,top
U8,NE5532,SOIC-8_5.3x5.3mm_P1.27mm,153.924,-100.076,90.0,top
U9,NE5532,SOIC-8_5.3x5.3mm_P1.27mm,169.164,-100.076,90.0,top
Y1,16 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,175.26,-111.336,90.0,top
